,SANTÉ ET SÉCURITÉ,2022,2023
0,ABSENTÉISME (PÉRIMÈTRE 22 PAYS/RÉGIONS),,
1,Taux d'absentéisme pour les contrats permanents  (du 01/01 au 31/12) :,,(Note 97
2, France,"4,4","3,6 %"
3, Espagne,"3,3 %","5,0 %"
4, Belgique,n/a,n/a
5, Italie,"6,0 %","3,5 %"
6, Chine continentale,"8,0 %","1,7 %"
7, Portugal,"3,3 %","0,7 %"
8, Pologne,"8,5 %","7,0 %"
9, Russie,"0,1 %",-
10, Allemagne,"8,0 %","9,4 %"
11, Hongrie,"5,7 %","5,2 %"
12, Inde,n/a %,n a
13, Brésil,"4,8 %","4,7 %"
14, République Tchèque,"5,3 %","3,1 %"
15, Turquie,"3,1 %","2,3 %"
16, Roumanie,"1,2 %","1,0 %"
17, Royaume-Uni,"2,5 %","2,6 %"
18, Maroc,"3,0 %","2,5 %"
19, Mexique,"8,9 %","0,7 %"
20, Pays-Bas,"5,7 %","5,1 %"
21, Taïwan,"0,3 %","0,2 %"
22, Suisse,"5,9 %","4,9 %"
23, Singapou,",","3,1 %"
24, Canada,"7,0 %","6,3 %"
25, Canada,"7,0 %","6,3 %"
