,SANTÉ ET SÉCURITÉ,2022,2023
0,ACCIDENTS DU TRAVAIL (PÉRIMÈTRE 22 PAYS/RÉGIONS),,
1,Nombre d'accidents du travail ayant provoqué un arrêt  (du 01/01 au 31/12) :,,(Note 98)
2, France,657,574
3, Espagne,264,221
4, Belgique,46,39
5, Italie,126,130
6, Chine continentale,28,18
7, Portugal,33,36
8, Pologn,45,44
9, Russie,3,-
10, Allemagne,71,87
11, Hongrie,42,40
12, Inde,11,11
13, Brésil,13,34
14, République Tchèque,17,15
15, Turquie,77,52
16, Roumanie,6,8
17, Royaume-Uni,11,11
18, Maroc,27,6
19, Mexique,3,7
20, Pays-Bas,14,17
21, Taïwan,16,1
22,,16,10
23, Suisse,46,10
24, Canada,8,11
25, Canada,8,11
