,DIVERSITÉ ET INCLUSION,2022,2023
0,DIVERSITÉ & LEADERSHIP (PÉRIMÈTRE 22 PAYS/RÉGIONS),DIVERSITÉ & LEADERSHIP (PÉRIMÈTRE 22 PAYS/RÉGIONS),DIVERSITÉ & LEADERSHIP (PÉRIMÈTRE 22 PAYS/RÉGIONS)
1,Nombre de femmes leaders (situation au 31/12) :,,(Note 94)
2, France,"854 (28,8 %)","868 (28,6 %)"
3, Espagne,"822 (43,9 %)","655 (43,2 %)"
4, Belgique,"103 (27,4 %)","122 (29,2 %)"
5, Italie,"526 (38,7 %)","432 (38,3 %)"
6, Chine continentale,"968 (51,6 %)","837 (53,2 %)"
7, Portugal,"109 (36,6 %)","110 (39,3 %)"
8, Pologne,"282 (52,9 %)","271 (53,9 %)"
9, Russie,"209 (42,5 %)",-
10, Allemagne,"304 (39,5 %)","258 (36,3 %)"
11, Hongrie,"143 (48,5 %)","147 (50,5 %)"
12, Inde,"181 (18,2 %)","214 (19,3 %)"
13, Brésil,"162 (37,8 %)","165 (41,1 %)"
14, République Tchèque,"120 (41,4 %)","120 (41,1 %)"
15, Turquie,"140 (33,3 %)","148 (35,5 %)"
16, Roumanie,"140 (42,8 %)","144 (46,9 %)"
17, Royaume-Uni,"182 (40,4 %)",119 (38 %)
18, Maroc,73 (42 %),58 (46 %)
19, Mexique,"42 (42,9 %)","48 (49,5 %)"
20, Pays-Bas,"78 (31,5 %)",90 (33 %)
21, Taïwan,"80 (55,2 %)","77 (56,6 %)"
22, Suisse,"55 (31,8 %)","57 (33,7 %)"
23, Singapour,"39 (39,8 %)","35 (38,9 %)"
24, Canada,"46 (28,2 %)","55 (29,7 %)"
25,% de femmes leaders dans le top management,19 %,
